typnam,stacknam,technonam
PSoft_Field_LabelItem,Oracle Entreprise Solutions,PeopleSoft
PSoft_Field_Format,Oracle Entreprise Solutions,PeopleSoft
PSoft_Field_XLATITEM,Oracle Entreprise Solutions,PeopleSoft
PSoft_Page0,Oracle Entreprise Solutions,PeopleSoft
PSoft_Page1,Oracle Entreprise Solutions,PeopleSoft
PSoft_Page2,Oracle Entreprise Solutions,PeopleSoft
PSoft_PageField0,Oracle Entreprise Solutions,PeopleSoft
PSoft_PageFieldLevel1,Oracle Entreprise Solutions,PeopleSoft
PSoft_PageField1,Oracle Entreprise Solutions,PeopleSoft
PSoft_PageFieldLevel2,Oracle Entreprise Solutions,PeopleSoft
PSoft_PageField2,Oracle Entreprise Solutions,PeopleSoft
PSoft_PageFieldLevel3,Oracle Entreprise Solutions,PeopleSoft
PSoft_PageField3,Oracle Entreprise Solutions,PeopleSoft
PSoft_Menu,Oracle Entreprise Solutions,PeopleSoft
PSoft_MenuPopup,Oracle Entreprise Solutions,PeopleSoft
PSoft_MenuBar,Oracle Entreprise Solutions,PeopleSoft
PSoft_MenuItem,Oracle Entreprise Solutions,PeopleSoft
PSoft_Component,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentRecord,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentRecordField,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentItem,Oracle Entreprise Solutions,PeopleSoft
PSoft_RecordFieldEvent,Oracle Entreprise Solutions,PeopleSoft
PSoft_MenuEvent,Oracle Entreprise Solutions,PeopleSoft
PSoft_Query,Oracle Entreprise Solutions,PeopleSoft
PSoft_BusinessProcess,Oracle Entreprise Solutions,PeopleSoft
PSoft_BusProcItem,Oracle Entreprise Solutions,PeopleSoft
PSoft_Activity,Oracle Entreprise Solutions,PeopleSoft
SIEBEL_PROCESS_STEP_ABORT,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_STEP_DECISION_POINT,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_STEP_END,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_STEP_SIEBEL_OPER,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_STEP_START,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_STEP_SUB_PROCESS,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_STEP_TASK,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_STEP_USER_INTERACT,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_STEP_WAIT,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_BRANCH_CONNECTOR,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_BRANCH_DECISION,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_BRANCH_DEFAULT,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_BRANCH_ERROR_EXC,Oracle Entreprise Solutions,Siebel
SIEBEL_PROCESS_BRANCH_USER_DEFINED_EXC,Oracle Entreprise Solutions,Siebel
CAST_Forms_DataBlockItem,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_DataBlock_Relation,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Window,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Window_Tab,Oracle Entreprise Solutions,Oracle Forms/Reports
SIEBEL_APPLET_WEB_TMPL,Oracle Entreprise Solutions,Siebel
SIEBEL_APPLET_WEB_TMPL_ITM,Oracle Entreprise Solutions,Siebel
SIEBEL_CONTROL,Oracle Entreprise Solutions,Siebel
SIEBEL_LIST,Oracle Entreprise Solutions,Siebel
SIEBEL_LIST_COLUMN,Oracle Entreprise Solutions,Siebel
SIEBEL_APPLET_TOGGLE,Oracle Entreprise Solutions,Siebel
SIEBEL_DDOWN_OBJECT,Oracle Entreprise Solutions,Siebel
SIEBEL_APPLET_METHOD_MENU_ITEM,Oracle Entreprise Solutions,Siebel
SIEBEL_DDOWN_DYNDEST,Oracle Entreprise Solutions,Siebel
SIEBEL_VIEW,Oracle Entreprise Solutions,Siebel
SIEBEL_VIEW_WEB_TMPL,Oracle Entreprise Solutions,Siebel
SIEBEL_VIEW_WEB_TMPL_ITEM,Oracle Entreprise Solutions,Siebel
SIEBEL_VIEW_REPORT,Oracle Entreprise Solutions,Siebel
SIEBEL_VIEW_TASKGROUP,Oracle Entreprise Solutions,Siebel
SIEBEL_VIEW_LAYOUT,Oracle Entreprise Solutions,Siebel
SIEBEL_SCREEN,Oracle Entreprise Solutions,Siebel
SIEBEL_SCREEN_VIEW,Oracle Entreprise Solutions,Siebel
SIEBEL_APPLICATION,Oracle Entreprise Solutions,Siebel
SIEBEL_APPL_FIND,Oracle Entreprise Solutions,Siebel
SIEBEL_APPL_METHOD_MENU_ITEM,Oracle Entreprise Solutions,Siebel
SIEBEL_APPL_TOOLBAR,Oracle Entreprise Solutions,Siebel
SIEBEL_APPL_PAGE_TAB,Oracle Entreprise Solutions,Siebel
SIEBEL_APPL_SCREEN_MENU_ITEM,Oracle Entreprise Solutions,Siebel
SIEBEL_APPL_EVENT_SERVICE,Oracle Entreprise Solutions,Siebel
SIEBEL_APPL_SCRIPT,Oracle Entreprise Solutions,Siebel
PSoft_AuthWS,Oracle Entreprise Solutions,PeopleSoft
PSoft_AuthQueueMon,Oracle Entreprise Solutions,PeopleSoft
PSoft_AuthOptn,Oracle Entreprise Solutions,PeopleSoft
PSoft_AuthCube,Oracle Entreprise Solutions,PeopleSoft
PSoft_AuthMP,Oracle Entreprise Solutions,PeopleSoft
PSoft_AuthPrcs,Oracle Entreprise Solutions,PeopleSoft
PSoft_AuthBusCompAction,Oracle Entreprise Solutions,PeopleSoft
PSoft_PortalRegistry,Oracle Entreprise Solutions,PeopleSoft
PSoft_PortalFolder,Oracle Entreprise Solutions,PeopleSoft
PSoft_PortalContentReference,Oracle Entreprise Solutions,PeopleSoft
PSoft_URL,Oracle Entreprise Solutions,PeopleSoft
PSoft_AppPackage,Oracle Entreprise Solutions,PeopleSoft
PSoft_AppClass,Oracle Entreprise Solutions,PeopleSoft
PSoft_AppMethod,Oracle Entreprise Solutions,PeopleSoft
PSoft_Package,Oracle Entreprise Solutions,PeopleSoft
PSoft_SubPackage,Oracle Entreprise Solutions,PeopleSoft
PSoft_MobilePage,Oracle Entreprise Solutions,PeopleSoft
PSoft_PeopleCodeFunction,Oracle Entreprise Solutions,PeopleSoft
CAST_Forms_Alert,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Alert_Tab,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_RecordGroup,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_LOV,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Canvas,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Graphics_Tab,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Canvas_Tab,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Graphics,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_PopupMenu,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_RecordGroup_Tab,Oracle Entreprise Solutions,Oracle Forms/Reports
SiebelProject,Oracle Entreprise Solutions,Siebel
