id,typnam,familyicon,genericicon
142419,CAST_Java_Service_CallToPost,ResourceServicePost,ResourceServicePost
142420,CAST_Java_Service_CallToPut,ResourceServicePut,ResourceServicePut
142421,CAST_Java_Service_CallToDelete,ResourceServiceDelete,ResourceServiceDelete
142426,CAST_JCL_JCLToJava,CallToJavaProgram,CallToJavaProgram
142449,CAST_IMS_MessageFormatService,Service,ServiceBlue
142450,CAST_IMS_MessageInputDescriptor,Service,ServiceGreen
142451,CAST_IMS_MessageOutputDescriptor,Service,ServicePurple
142481,CAST_Java_Service_CallToPatch2,ResourceServicePut,PutResourceService
142537,CAST_Java2Program_JavaCall,CallToJavaProgram,CallToJavaProgram
142538,CAST_Java2Program_GeneralCall,CallToProgram,CallToProgram
142585,CAST_Java2Program_JarProgram,CallToJavaProgram,CallToJavaProgram
142620,CAST_Dotnet_Service_CallToGet,ResourceServiceGet,ResourceServiceGet
142621,CAST_Dotnet_Service_CallToPost,ResourceServicePost,ResourceServicePost
142622,CAST_Dotnet_Service_CallToPut,ResourceServicePut,ResourceServicePut
142623,CAST_Dotnet_Service_CallToDelete,ResourceServiceDelete,ResourceServiceDelete
142624,CAST_Dotnet_Service_CallToPatch,ResourceServicePut,ResourceServicePut
142634,CAST_JCL_ResolvedDataset,DataBlock,DataObject
1004004,PLIFunction,Function,FunctionGreen
1004005,PLIMainProcedure,Procedure,Procedure
1004006,PLIFileStructure,List,List
1004008,PLIProcedure,Procedure,Procedure
1004011,PLIErrorBlock,Package,PackageRed
1004013,PLIDB2Table,Table,Table
1005004,PLCFunction,Function,FunctionGreen
1005005,PLCFileStructure,List,List
1005006,PLCMainProcedure,Procedure,ProcedureGreen
1005009,PLCProcedure,Procedure,ProcedureGreen
1005010,PLCDB2Table,Table,Table
1005011,PLCInclude,Variable,VariablePropertyPink
1005012,PLCErrorBlock,Process,ProcessRed
1006004,FortranProgram,Package,Package
1006005,FortranModule,Package,Module
1006006,FortranExternalSubroutine,Function,FunctionBlueService
1006007,FortranExternalFunction,Function,FunctionExternal
1006008,FortranInterface,Class,Class
1006011,FortranInternalSubroutine,Function,FunctionBlueService
1006012,FortranInternalFunction,Function,FunctionBlue
1006014,FortranIOSTATVariable,Variable,VariablePropertyBlue
1006015,FortranSTATVariable,Variable,Variable
1007011,FLEX_package,Package,PackageOrange
