typnam,concept
CAST_Kotlin_WebService_GetOperation,Exposed Web Services
CAST_Kotlin_WebService_PostOperation,Exposed Web Services
CAST_Kotlin_WebService_PutOperation,Exposed Web Services
CAST_MSTSQL_DML_Trigger,Data Object
CAST_MSTSQL_DML_Trigger,Trigger
CAST_MSTSQL_Database,Storage
CAST_MSTSQL_ExternalDatabase,Storage
CAST_MSTSQL_ExternalSchema,Schema
CAST_MSTSQL_Function,Data Object
CAST_MSTSQL_Procedure,Procedure
CAST_MSTSQL_Procedure,Data Object
CAST_MSTSQL_RelationalTable,Table
CAST_MSTSQL_RelationalTable,Data Source
CAST_MSTSQL_Schema,Schema
CAST_MSTSQL_TableColumn,Table Column
CAST_MSTSQL_View,Data Source
CAST_MSTSQL_ViewColumn,Table Column
CAST_MYBATIS_DOTNET_SQLNAMEDQUERY,Data Query
CAST_NodeJS_AWS_Lambda,Cloud Function
CAST_NodeJS_AWS_Lambda_Function_ANY,Exposed Web Services
CAST_NodeJS_AWS_Lambda_Function_GET,Exposed Web Services
CAST_NodeJS_AWS_Lambda_Function_POST,Exposed Web Services
CAST_NodeJS_AWS_Lambda_Function_PUT,Exposed Web Services
CAST_NodeJS_AWS_SNS_Publisher,Message Queue Publisher
CAST_NodeJS_AWS_SNS_Subscriber,Message Queue Subscriber
CAST_NodeJS_AWS_SNS_Unknown_Publisher,Message Queue Publisher
CAST_NodeJS_AWS_SNS_Unknown_Subscriber,Message Queue Subscriber
CAST_NodeJS_AnyOperation,Exposed Web Services
CAST_NodeJS_Azure_AnyOperation,Exposed Web Services
CAST_NodeJS_Azure_DeleteOperation,Exposed Web Services
CAST_NodeJS_Azure_GetOperation,Exposed Web Services
CAST_NodeJS_Azure_PostOperation,Exposed Web Services
CAST_NodeJS_Azure_PutOperation,Exposed Web Services
CAST_NodeJS_CosmosDB_Collection,Data Source
CAST_NodeJS_CosmosDB_Collection,Collection
CAST_NodeJS_CosmosDB_Unknown_Collection,Collection
CAST_NodeJS_DeleteHttpRequestService,Web Services Call
CAST_NodeJS_DeleteOperation,Exposed Web Services
CAST_NodeJS_DynamoDB_Endpoint,Storage Connection
CAST_NodeJS_DynamoDB_Table,Data Source
CAST_NodeJS_DynamoDB_Table,Collection
CAST_NodeJS_Elasticsearch_Index,Data Source
CAST_NodeJS_Elasticsearch_Unknown_Index,Data Source
CAST_NodeJS_GCP_Bigtable_Table,Data Source
CAST_NodeJS_GetHttpRequestService,Web Services Call
CAST_NodeJS_GetOperation,Exposed Web Services
CAST_NodeJS_MQTT_Connection,Message Queue Subscriber
CAST_NodeJS_MQTT_Publisher,Message Queue Publisher
CAST_NodeJS_MQTT_Subscriber,Message Queue Subscriber
CAST_NodeJS_Marklogic_Collection,Collection
CAST_NodeJS_Marklogic_Collection,Data Source
CAST_NodeJS_Memcached_Connection,Storage Connection
CAST_NodeJS_MongoDB_Collection,Data Source
CAST_NodeJS_MongoDB_Connection,Storage Connection
CAST_NodeJS_PostHttpRequestService,Web Services Call
CAST_NodeJS_PostOperation,Exposed Web Services
CAST_NodeJS_PutHttpRequestService,Web Services Call
