internalName,color
SPRING_VIEW,"rgb(102, 156, 53)"
C_TEMPLATE_CLASS,"rgb(243, 75, 7)"
C_TEMPLATE_FUNCTION,"rgb(243, 75, 7)"
C_TEMPLATE_METHOD,"rgb(156, 1, 58)"
C_TEMPLATE_CTOR_INSTANCE,"rgb(243, 75, 7)"
C_TEMPLATE_CTOR,"rgb(243, 75, 7)"
CAST_Oracle_DefaultConstraint,"rgb(241, 8, 8)"
JCL_PSB,"rgb(62, 74, 148)"
CAST_IMS_GSAMProgramControlBlock,"rgb(101, 41, 198)"
CAST_IMS_AnalyzedFile,"rgb(101, 41, 198)"
CICS_FOLDER,"rgb(101, 41, 198)"
CICS_BMS,"rgb(101, 41, 198)"
CICS_CSDFILE,"rgb(101, 41, 198)"
CICS_CSDGROUP,"rgb(101, 41, 198)"
CICS_DATASET,"rgb(101, 41, 198)"
CICS_TRANSACTION,"rgb(101, 41, 198)"
CICS_DB2TRANS,"rgb(101, 41, 198)"
CICS_MAPSET,"rgb(101, 41, 198)"
CICS_MAP,"rgb(101, 41, 198)"
CICS_TDQUEUE,"rgb(101, 41, 198)"
CICS_TSMODEL,"rgb(101, 41, 198)"
CAST_CICS_TransactionPrototype,"rgb(101, 41, 198)"
COBOL_CICS_QUEUE,"rgb(97, 36, 219)"
COBOL_CICS_MAP,"rgb(97, 36, 219)"
CAST_COBOL_Literal,"rgb(97, 36, 219)"
abapProgram,"rgb(232, 39, 4)"
abapInclude,"rgb(232, 39, 4)"
abapFunctionPool,"rgb(232, 39, 4)"
abapTypePool,"rgb(232, 39, 4)"
abapForm,"rgb(232, 39, 4)"
abapFunction,"rgb(232, 39, 4)"
abapEventBlock,"rgb(232, 39, 4)"
abapProcessingScreen,"rgb(232, 39, 4)"
abapMacro,"rgb(232, 39, 4)"
abapModule,"rgb(232, 39, 4)"
abapUnresolvedObject,"rgb(232, 39, 4)"
abapUnresolvedFolder,"rgb(232, 39, 4)"
abapFrame,"rgb(232, 39, 4)"
abapModulePool,"rgb(232, 39, 4)"
SAPTable,"rgb(170, 86, 196)"
SAPView,"rgb(170, 86, 196)"
abapUserExit,"rgb(232, 39, 4)"
abapBadi,"rgb(232, 39, 4)"
abapSelectionScreen,"rgb(232, 39, 4)"
abapBookmarkFile,"rgb(232, 39, 4)"
CAST_ABAP_Package,"rgb(232, 39, 4)"
SAPTransactionFile,"rgb(170, 86, 196)"
SAPTransaction,"rgb(170, 86, 196)"
abapFlowLogicFile,"rgb(232, 39, 4)"
FORM_VALIDATION_FILE,"rgb(176, 114, 1)"
VALIDATION_FORM,"rgb(176, 114, 1)"
VALIDATION_FORM_FIELD,"rgb(176, 114, 1)"
STRUTS_CONFIG_FILE,"rgb(0, 77, 101)"
STRUTS_FORM_BEAN,"rgb(0, 77, 101)"
VALIDATION_FORMS_SET,"rgb(176, 114, 1)"
HIB_CONFIG_FILE,"rgb(141, 134, 0)"
HIB_MAPPING_FILE,"rgb(141, 134, 0)"
HIB_ENTITY,"rgb(141, 134, 0)"
HIB_ENTITY_PROPERTY,"rgb(141, 134, 0)"
HIB_HQL_NAMED_QUERY,"rgb(141, 134, 0)"
HIB_SQL_NAMED_QUERY,"rgb(141, 134, 0)"
JSF_FACES_CONFIG_FILE,"rgb(217, 80, 0)"
JSF_MANAGED_BEAN,"rgb(217, 80, 0)"
JSF_OUTCOME,"rgb(217, 80, 0)"
JSF_VALIDATOR,"rgb(217, 80, 0)"
JSF_CONVERTER,"rgb(217, 80, 0)"
JSF_VIEW_ID_PATTERN,"rgb(217, 80, 0)"
JSF_INPUT_FIELD,"rgb(217, 80, 0)"
JPA_ORM_CONFIG_FILE,"rgb(181, 26, 0)"
JPA_ENTITY,"rgb(181, 26, 0)"
JPA_ENTITY_PROPERTY,"rgb(181, 26, 0)"
JPA_EMBEDDABLE,"rgb(181, 26, 0)"
JPA_EMBEDDABLE_PROPERTY,"rgb(181, 26, 0)"
JPA_NAMED_QUERY,"rgb(181, 26, 0)"
JPA_NAMED_NATIVE_QUERY,"rgb(181, 26, 0)"
JPA_SQL_RESULT_SET,"rgb(181, 26, 0)"
JPA_PERS_CONFIG_FILE,"rgb(181, 26, 0)"
JPA_PERSISTENCE_UNIT,"rgb(181, 26, 0)"
URL,"rgb(227, 76, 2)"
SAPUnresolvedFolder,"rgb(0, 86, 214)"
AbapClassPool,"rgb(232, 39, 4)"
AbapInterfacePool,"rgb(232, 39, 4)"
AbapClass,"rgb(232, 39, 4)"
AbapInterface,"rgb(232, 39, 4)"
AbapMethod,"rgb(232, 39, 4)"
AbapConstructor,"rgb(232, 39, 4)"
AbapEvent,"rgb(232, 39, 4)"
