id,typnam,familyicon,genericicon,typdsc
2015007,Easyfile,File,File_Grey,EZP File
2015008,Easyproc,Procedure,ProcedureGreen,EZP Proc
2015009,Easymacro,Macro,Macro,EZP Macro
2015010,Easyreport,Service,ServiceBrown,EZP Report
2056006,Unknown_JCL_Dataset,DataSet,DataSetGrey,Unknown JCL Dataset
2056007,CTLprogram,Program,Program,CTLCode
2056008,Custom_COBOL_ProgramPrototype,,,Custom Unknown Cobol Program
2056009,Custom_JCL_ProgramPrototype,Program,Program,Custom Unknown JCL
2056010,NDMProcessCard,Service,ServiceGreen,NDM Process CARD
2152003,Spring_BatchModule,Process,ProcessGreen,Spring Batch Module
2152004,Spring_BatchJob,Process,ProcessGreen,Spring Batch Job
2152005,Spring_BatchStep,Process,ProcessGreen,Spring Batch Step
4086005,ASMZOSProgram,Program,Program,ASMZOS Program
4086006,CallTo_program,CallToProgram,CallToProgram,Call to Program
4086007,ASM_MACRO,Macro,Macro,Assembler Macro
4500006,Rexxprogram,Program,Program,Rexx Program
4500007,Rexxfile,File,File_Grey,Rexx File
4500008,Rexxfunction,Function,FunctionBlueService,Rexx Function
4500009,Rexxprocedure,Procedure,ProcedureGreen,Rexx Procedure
4500010,Unknown_Rexxprogram,Program,Program,Unknown Rexx Program
